QUESTIONARIO;PESQUISADOR;INICIO COLETA;FIM COLETA;P0001-REGIÃO;P0006-SEXO;P0007-FAIXA ETÁRIA;P0008-ESCOLARIDADE;P0009-DIA 28 TEREMOS ELEIÇÃO DE SEGUNDO TURNO PARA PRESIDENTE DO BRASIL E GOVERNADOR DE CAFUÇU. GOSTARIA DE SABER QUAL É O SEU INTERESSE PELAS ELEIÇÕES DESTE ANO? (ESTIMULADA RU);P0010-EM RELAÇÃO AO SEU VOTO PARA GOVERNADOR DE CAFUÇU, O (A) SR. (A) DIRIA QUE: (RU ESTIMULADA);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(A);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(B);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(C);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(D);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(E);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(F);P0012-(APENAS PARA QUEM ASSISTE/OUVE) QUAL DESSES CANDIDATOS A GOVERNADOR APRESENTOU AS MELHORES PROPOSTAS PARA CAFUÇU? (RU ESTIMULADA);P0013-SE AS ELEIÇÕES PARA GOVERNADOR DE CAFUÇU FOSSEM HOJE, EM QUAL DESTES CANDIDATOS O (A) SR. (A) VOTARIA? (ESTIMULADA RU);P0014-SOBRE A GESTÃO DO GOVERNADOR PESCOÇO GROSSO, COMO VOCÊ AVALIA A SUA ADMINISTRAÇÃO? (RU ESTIMULADA);P0015-E SOBRE A FORMA DE ADMINISTRAR DO GOVERNADOR PESCOÇO GROSSO, VOCÊ APROVA OU DESAPROVA? (RU ESTIMULADA);P0016-TAMBÉM AVALIANDO A GESTÃO DE PESCOÇO GROSSO, QUAL DAS SEGUINTES FRASES MELHOR REPRESENTA A SUA OPINIÃO SOBRE A GESTÃO DO GOVERNADOR? (RU ESTIMULADA);P0017-DIA 28 TEREMOS ELEIÇÃO PARA PRESIDENTE DO BRASIL, EM QUAL DESTES CANDIDATOS VOCÊ VOTARIA? (ESTIMULADA RU);P0018-(APENAS PARA BOLSONARO) SE JAIR BOLSONARO APOIAR FILHO DE PAPAI PARA GOVERNADOR DE CAFUÇU, VOCÊ VOTARIA EM FILHO DE PAPAI? (RU ESTIMULADA);P0019-EM QUAL DESTES CANDIDATOS A GOVERNADOR VOCÊ VOTOU NO PRIMEIRO TURNO? (RU ESTIMULADA);P0020-(APENAS PARA FILHO DE PAPAI) ESTÃO CONVICTOS DE REPETIR O VOTO EM FILHO DE PAPAI NO SEGUNDO TURNO? (RU ESTIMULADA);P0021-(APENAS PARA PESCOÇO GROSSO) ESTÃO CONVICTOS DE REPETIR O VOTO EM PESCOÇO GROSSO NO SEGUNDO TURNO? (RU ESTIMULADA);P0022-SE O SENADOR ELEITO FICHA LIMPA APOIAR FILHO DE PAPAI PARA GOVERNADOR DE CAFUÇU, VOCÊ VOTARIA EM FILHO DE PAPAI NESTE SEGUNDO TURNO? (RU ESTIMULADA)
1087;T358756082344511;2018-10-18 09:22:37.0;2018-10-18 09:24:56.0;0001-SERTÃO;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0002-BOM;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0003-NENHUM DELES;null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1088;T358756082344511;2018-10-18 09:36:38.0;2018-10-18 09:42:10.0;0001-SERTÃO;0002-MASCULINO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0002-PESCOÇO GROSSO (PSD);0004-NÃO SABE;0002-BOM;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0002-TALVEZ VOTARIA
1089;T358756082344511;2018-10-18 09:45:51.0;2018-10-18 09:50:35.0;0002-AGRESTE;0001-FEMININO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0003-NENHUM DELES;null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1090;T358756082344511;2018-10-18 10:05:47.0;2018-10-18 10:08:02.0;0002-AGRESTE;0002-MASCULINO;0006-60 A 69 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1091;T358756082344511;2018-10-18 10:17:15.0;2018-10-18 10:19:15.0;0002-AGRESTE;0002-MASCULINO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
1092;T358756082344511;2018-10-18 11:14:57.0;2018-10-18 11:16:24.0;0002-AGRESTE;0002-MASCULINO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0003-NÃO SABE;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0002-BOM;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0004-NENHUM DELES;0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1093;T358756082344511;2018-10-18 11:19:38.0;2018-10-18 11:22:15.0;0002-AGRESTE;0001-FEMININO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1094;T351829091268638;2018-10-18 11:56:09.0;2018-10-18 11:57:58.0;0001-SERTÃO;0002-MASCULINO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1095;T354955089182155;2018-10-18 08:11:40.0;2018-10-18 08:33:15.0;0003-LESTE;0002-MASCULINO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0001-FILHO DE PAPAI (PSB);0002-BOM;0002-DESAPROVO;0004-ELE ESTÁ DEMORANDO PARA MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1096;T354955089182155;2018-10-18 08:34:32.0;2018-10-18 08:50:21.0;0003-LESTE;0001-FEMININO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0003-NENHUM DELES;0003-NENHUM DELES;0005-PÉSSIMO;0002-DESAPROVO;0004-ELE ESTÁ DEMORANDO PARA MOSTRAR TRABALHO;0003-NENHUM DELES;null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1097;T354955089182155;2018-10-18 08:51:27.0;2018-10-18 09:09:39.0;0003-LESTE;0002-MASCULINO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0002-PESCOÇO GROSSO (PSD);null-null;0003-TALVEZ;0002-TALVEZ VOTARIA
1098;T354955089182155;2018-10-18 09:15:05.0;2018-10-18 09:36:20.0;0003-LESTE;0001-FEMININO;0002-18 A 24 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0002-TALVEZ VOTARIA
1099;T354955089182155;2018-10-18 09:37:44.0;2018-10-18 09:46:07.0;0003-LESTE;0002-MASCULINO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1100;T354955089182155;2018-10-18 09:46:51.0;2018-10-18 09:51:09.0;0003-LESTE;0002-MASCULINO;0006-60 A 69 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0002-DESAPROVO;0004-ELE ESTÁ DEMORANDO PARA MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1101;T354955089182155;2018-10-18 09:53:36.0;2018-10-18 09:59:18.0;0003-LESTE;0002-MASCULINO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1102;T354955089182155;2018-10-18 09:59:57.0;2018-10-18 10:21:32.0;0003-LESTE;0001-FEMININO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0002-PODERÁ MUDAR O VOTO;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0004-NÃO SABE;0003-REGULAR;0003-NÃO SABE;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0003-OUTRO;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1103;T354955089182155;2018-10-18 10:22:32.0;2018-10-18 10:48:36.0;0003-LESTE;0002-MASCULINO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1104;T354955089182155;2018-10-18 10:51:05.0;2018-10-18 11:07:50.0;0003-LESTE;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0006-YOUTUBE;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0004-RUIM;0002-DESAPROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
1105;T354955089182155;2018-10-18 11:08:35.0;2018-10-18 11:15:13.0;0003-LESTE;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0002-PESCOÇO GROSSO (PSD);0006-NÃO SABE;0003-NÃO SABE;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1106;T354955089182155;2018-10-18 11:16:23.0;2018-10-18 11:19:36.0;0003-LESTE;0001-FEMININO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0001-FILHO DE PAPAI (PSB);0003-REGULAR;0001-APROVO;0004-ELE ESTÁ DEMORANDO PARA MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1107;T354955089182155;2018-10-18 11:21:16.0;2018-10-18 11:28:56.0;0003-LESTE;0002-MASCULINO;0005-45 A 59 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;0002-PESCOÇO GROSSO (PSD);0003-NENHUM DELES;0003-REGULAR;0002-DESAPROVO;0004-ELE ESTÁ DEMORANDO PARA MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1108;T354955089182155;2018-10-18 11:30:57.0;2018-10-18 11:52:19.0;0003-LESTE;0001-FEMININO;0006-60 A 69 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0001-FILHO DE PAPAI (PSB);0006-NÃO SABE;0003-NÃO SABE;0004-ELE ESTÁ DEMORANDO PARA MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0002-TALVEZ VOTARIA
1109;T354955089182155;2018-10-18 11:53:30.0;2018-10-18 11:57:05.0;0003-LESTE;0002-MASCULINO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0006-YOUTUBE;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1110;T357208071695694;2018-10-18 08:02:43.0;2018-10-18 08:17:44.0;0002-AGRESTE;0002-MASCULINO;0004-35 A 44 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1111;T357208071695694;2018-10-18 08:17:46.0;2018-10-18 08:24:37.0;0002-AGRESTE;0002-MASCULINO;0003-25 A 34 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0002-PESCOÇO GROSSO (PSD);0002-BOM;0003-NÃO SABE;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1112;T357208071695694;2018-10-18 08:24:58.0;2018-10-18 08:42:45.0;0002-AGRESTE;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;0001-FILHO DE PAPAI (PSB);0003-NENHUM DELES;0006-NÃO SABE;0003-NÃO SABE;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0003-NENHUM DELES;null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1113;T357208071695694;2018-10-18 08:43:02.0;2018-10-18 08:47:06.0;0002-AGRESTE;0001-FEMININO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1114;T357208071695694;2018-10-18 08:47:18.0;2018-10-18 09:15:32.0;0002-AGRESTE;0002-MASCULINO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1115;T357208071695694;2018-10-18 09:15:45.0;2018-10-18 09:23:51.0;0002-AGRESTE;0002-MASCULINO;0002-18 A 24 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0003-NENHUM DELES;0003-REGULAR;0003-NÃO SABE;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0003-NENHUM DELES;null-null;0002-PESCOÇO GROSSO (PSD);null-null;0002-NÃO;0003-NÃO VOTARIA DE JEITO NENHUM
1116;T357208071695694;2018-10-18 09:23:52.0;2018-10-18 09:29:02.0;0002-AGRESTE;0001-FEMININO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
1117;T357208071695694;2018-10-18 09:29:19.0;2018-10-18 09:35:04.0;0002-AGRESTE;0001-FEMININO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0003-NÃO SABE;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0003-NÃO SABE;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1118;T357208071695694;2018-10-18 09:35:15.0;2018-10-18 09:47:27.0;0002-AGRESTE;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;0004-NÃO SABE;0001-FILHO DE PAPAI (PSB);0003-REGULAR;0003-NÃO SABE;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
1119;T357208071695694;2018-10-18 09:47:45.0;2018-10-18 10:09:51.0;0002-AGRESTE;0002-MASCULINO;0004-35 A 44 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0003-NÃO SABE;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0003-NENHUM DELES;0002-BOM;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0004-NÃO SABE;null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
1120;T357208071695694;2018-10-18 10:10:20.0;2018-10-18 10:34:08.0;0002-AGRESTE;0002-MASCULINO;0004-35 A 44 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0003-NÃO SABE;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0004-NÃO SABE;0001-FILHO DE PAPAI (PSB);0002-NÃO;null-null;0004-NÃO SABE
1121;T357208071695694;2018-10-18 10:34:16.0;2018-10-18 10:58:08.0;0002-AGRESTE;0001-FEMININO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0002-NÃO;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
